countries_and_territories,max_confirmed_cases,max_percent_pop_sick,Total_cases,Total_deaths,deaths_to_confirmed_ratio
Guinea_Bissau,2444,0.12723090065838347,442109,6573,1.4867374335288357
Singapore,58320,1.004764880366305,11445777,6275,0.054823713584494956
Sri_Lanka,32790,0.153772317737597,1442340,6015,0.41703065851324933
Cyprus,15101,1.7240572257760312,673702,6015,0.8928279862609878
Isle_of_Man,370,0.43740911938904586,85182,5690,6.6798149843863728
New_Zealand,1740,0.036378370173750625,345720,5545,1.6038991091056345
Maldives,13368,2.5177180072962595,1534867,5429,0.35371142906844694
Lesotho,2250,0.10586905080632221,222243,5128,2.3073842595717298
United_Republic_of_Tanzania,509,0.00087750358539517522,120030,4909,4.0898108806131805
Sint_Maarten,1232,2.9064143999622547,101842,4482,4.40093478132794
Vietnam,1397,0.0014482370631999873,193689,4278,2.2086953828043923
Rwanda,6659,0.052736459147894765,700033,4141,0.591543541518757
Aruba,5049,4.749318032170069,477336,3964,0.83044228803191045
French_Polynesia,15618,5.592137064289167,714899,3246,0.45405015253902997
Guernsey,289,0.4482844201774524,65422,3178,4.857693130751124
Iceland,5557,1.5566218756215142,706098,3161,0.44767156966879956
Sao_Tome_and_Principe,1009,0.46919757449499649,176234,3108,1.763564351941169
United_States_Virgin_Islands,1807,1.7278803583893516,181489,3090,1.7025825256627123
Mauritius,515,0.040561720762087791,96055,2548,2.6526469210348238
Botswana,12501,0.54264807572851192,692862,2483,0.35836862174574446
Bermuda,431,0.68951174249696034,42289,2135,5.048594197072525
Taiwan,740,0.0031126596452636405,131658,1815,1.3785717540901428
Barbados,292,0.10173471627511577,39269,1713,4.3622195625047748
Comoros,628,0.073804987947927531,84659,1312,1.5497466306004086
Papua_New_Guinea,725,0.0082610548011028562,70760,812,1.1475409836065573
Turks_and_Caicos_islands,769,2.0134052468974186,85154,812,0.95356647955468921
Antigua_and_Barbuda,148,0.15239664315502241,20163,767,3.8039974210186975
Liechtenstein,1514,3.9449684715201419,72695,646,0.88864433592406622
Brunei_Darussalam,152,0.035079945349137769,38481,643,1.6709544970245058
