countries_and_territories,date,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,pop_data_2019,death_percentage,percent_pop_sick
Poland,2020-07-16,323,6,38780,1594,37972812,4.1103661681279009,0.10212569982965708
Poland,2020-07-19,339,6,39746,1618,37972812,4.0708498968449653,0.10466962520447524
Poland,2020-07-20,358,6,40104,1624,37972812,4.0494713744264912,0.10561240500176811
Poland,2020-07-23,380,6,41162,1642,37972812,3.9891161751129682,0.10839860898371181
Poland,2020-07-29,502,6,43904,1682,37972812,3.8310860058309042,0.1156195648613013
Poland,2020-08-05,680,6,48149,1738,37972812,3.6096284450352032,0.12679861580964824
Poland,2020-09-01,502,6,67372,2039,37972812,3.0264798432583269,0.17742167738328149
Poland,2020-09-14,502,6,74152,2188,37972812,2.9506958679469197,0.19527655734318541
Poland,2020-04-11,380,7,5955,181,37972812,3.0394626364399664,0.015682272885136871
Poland,2020-05-02,228,7,13105,651,37972812,4.9675696299122478,0.034511534199784831
Poland,2020-06-13,376,7,28577,1222,37972812,4.2761661476012183,0.07525647560681048
Poland,2020-07-08,257,7,36412,1528,37972812,4.1964187630451493,0.095889659159295343
Poland,2020-07-18,353,7,39407,1612,37972812,4.0906437942497531,0.10377688120648004
Poland,2020-07-27,443,7,43065,1671,37972812,3.8801811215604318,0.11341008930284119
Poland,2020-08-01,657,7,45688,1716,37972812,3.7559096480476275,0.12031766306904003
Poland,2020-08-10,624,7,51791,1807,37972812,3.4890231893572246,0.13638968849607452
Poland,2020-09-07,437,7,70824,2120,37972812,2.9933355924545353,0.18651239207673112
Poland,2020-04-05,244,8,3627,79,37972812,2.1781086297215331,0.00955157073961233
Poland,2020-05-17,241,8,18257,915,37972812,5.0117763049789117,0.048079136198815091
Poland,2020-08-17,594,8,56684,1877,37972812,3.3113400606873191,0.14927522354678394
Poland,2020-08-18,595,8,57279,1885,37972812,3.2909094083346426,0.15084213410373717
Poland,2020-08-29,791,8,65480,2018,37972812,3.0818570555894933,0.17243916515848234
Poland,2020-09-05,691,8,69820,2100,37972812,3.0077341735892293,0.18386839510331759
Poland,2020-09-28,1350,8,87330,2432,37972812,2.7848391159967938,0.22998033435079815
Poland,2020-03-31,193,9,2055,31,37972812,1.5085158150851581,0.005411766713510709
Poland,2020-05-10,285,9,15651,785,37972812,5.0156539518241647,0.041216331305672066
Poland,2020-06-09,599,9,27160,1166,37972812,4.2930780559646537,0.071524858364452965
Poland,2020-06-12,444,9,28201,1215,37972812,4.3083578596503669,0.074266293473340877
Poland,2020-06-16,396,9,29788,1256,37972812,4.2164630052370082,0.078445599446256453
Poland,2020-07-10,262,9,36951,1551,37972812,4.1974506779248193,0.097309095781476493
Poland,2020-07-22,399,9,40782,1636,37972812,4.0115737335098816,0.1073978929977585
Poland,2020-07-24,418,9,41580,1651,37972812,3.9706589706589703,0.10949939656826047
Poland,2020-07-26,584,9,42622,1664,37972812,3.9040870911735719,0.11224346514026931
Poland,2020-08-13,715,9,53676,1830,37972812,3.4093449586407329,0.14135376647902714
Poland,2020-04-02,243,10,2554,43,37972812,1.6836335160532498,0.0067258648108546714
Poland,2020-05-18,272,10,18529,925,37972812,4.9921744292730317,0.04879543816770799
Poland,2020-05-22,404,10,20143,972,37972812,4.8254976915057339,0.05304584764488867
Poland,2020-05-23,476,10,20619,982,37972812,4.7625976041515106,0.05429937609045124
Poland,2020-05-29,352,10,22825,1038,37972812,4.547645125958379,0.060108795735222348
Poland,2020-05-31,416,10,23571,1061,37972812,4.5012939629205375,0.062073359223435973
Poland,2020-06-02,379,10,24165,1074,37972812,4.4444444444444446,0.063637636317268265
Poland,2020-06-15,375,10,29392,1247,37972812,4.242651061513337,0.077402748050368245
Poland,2020-06-22,311,10,31931,1356,37972812,4.2466568538410954,0.084089110914408974
Poland,2020-08-03,548,10,46894,1731,37972812,3.6913037915298332,0.12349361959288134
Poland,2020-09-12,594,10,73047,2169,37972812,2.9693211220173312,0.19236658059455802
Poland,2020-09-17,600,10,75734,2237,37972812,2.9537592098661105,0.19944269600049636
Poland,2020-04-27,344,11,11617,535,37972812,4.6053197899629854,0.030592941075841314
Poland,2020-05-12,330,11,16326,811,37972812,4.96753644493446,0.042993918912299672
Poland,2020-05-19,356,11,18885,936,37972812,4.9563145353455118,0.049732951038758993
Poland,2020-05-24,312,11,20931,993,37972812,4.7441593808227029,0.055121016584181337
Poland,2020-05-26,305,11,21631,1007,37972812,4.655355739448015,0.056964440768832184
Poland,2020-07-11,265,11,37216,1562,37972812,4.1971195184866721,0.098006963508522879
Poland,2020-07-17,274,11,39054,1605,37972812,4.1096942694730378,0.10284726872479184
Poland,2020-08-16,771,11,56090,1869,37972812,3.3321447673382063,0.14771094645295166
Poland,2020-08-19,597,11,57876,1896,37972812,3.2759693137051626,0.15241431158693225
Poland,2020-09-10,421,11,71947,2147,37972812,2.9841411038681249,0.18946977116153527
Poland,2020-09-21,910,11,79240,2293,37972812,2.8937405350832912,0.2086756177024762
Poland,2020-05-20,383,12,19268,948,37972812,4.9200747353124354,0.0507415674140751
Poland,2020-06-21,304,12,31620,1346,37972812,4.2567994939911449,0.083270103883799809
Poland,2020-07-15,267,12,38457,1588,37972812,4.1292872558961955,0.10127509124159674
Poland,2020-07-30,512,12,44416,1694,37972812,3.8139409221902016,0.11696789797921733
Poland,2020-08-12,551,12,52961,1821,37972812,3.4383791846830687,0.13947084034756235
Poland,2020-08-21,767,12,59378,1925,37972812,3.2419414597999263,0.1563697731945688
Poland,2020-09-09,400,12,71526,2136,37972812,2.9863266504487878,0.18836108318762382
Poland,2020-09-11,506,12,72453,2159,37972812,2.9798628076132112,0.19080230350072572
Poland,2020-09-20,1002,12,78330,2282,37972812,2.9133154602323503,0.20627916626243009
Poland,2020-04-07,311,13,4413,107,37972812,2.4246544300929074,0.011621472752663143
